;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 10;kùng;babst;kayser;volk;rom;ziten;herren;kung;tu;machte;land;byschoff;grosz;starb;richsete;moyses;guot;lant;mu;bru;hiesz;rich;romer;gena;sun;wa;kint;ru;habst;tett;tusent;denn;gro;gebùrt;satzte;wip;erschlagen;monot;stu;römer;stette;erste;frankrich;haiden;frowen;herre;wasz;röm;bo;tod;mo;balst;gewan;kriechen;ware;lùt;enander;balist;kamen;vij;lte;dry;lande;ho;fro;globen;syn;kament;stryt;siner;nd;je;ssen;gwalt;fu;kùngrich;aien;deen;bst;fùrsten;vorgent;rome;kirchen;gross;vatt;hailig;maister;hatte;ainem;xxx;ram;zwen;ccc;jacob;hann;ainen;naht;lùte;egipten;liesz
Topic 11;sant;land;hand;gottes;starb;kind;tod;welt;zwen;amen;ware;statt;tett;erschlagen;ai;cristen;zoch;mals;pfaffen;tail;kamen;sprachent;stett;nacht;rat;lieb;grab;erwelt;kriechen;ame;gotz;siben;zitten;stund;ainen;diener;kamer;jare;wa;tutschen;gnad;wochen;lich;gemachet;stan;guldin;menschen;kain;wib;wort;hoff;gang;ains;grosser;gesetzt;stetten;graff;zaichen;samen;lan;machtent;dat;dienst;um;bald;werd;lamparten;herlich;hilff;zway;stet;fùnf;ettlich;welte;geborn;volks;ann;gelt;orden;hait;ungern;want;bezwang;zwain;hort;engel;bischoff;no;tochter;ach;volkes;tun;iin;ans;altar;selbs;frid;hannlich;rechten;layen
Topic 12;johannes;sant;cardinal;ritter;petrus;knecht;vatter;sancti;weltlich;hof;ludwig;personen;nicolaus;fritag;altar;fürsten;siner;kertzen;steffan;jan;grafen;patriarchen;hienach;anno;ders;lib;priester;thomas;recht;brief;lut;of;doctores;graf;nacion;prelaten;patriarch;nacht;diener;martinus;anthonius;ordens;rechten;dni;mentag;engegen;concilio;ampt;tisch;sust;tett;eberhart;landen;lamparten;kond;rechter;xxiii;wissen;zwo;zinstag;franciscus;behem;pre;wilhelmus;dornstag;nider;stündent;möcht;albrecht;zwei;brott;xx;wilhelm;hüb;peter;trug;allweg;desselben;gott;sechs;stat;hundert;hochwirdig;vesper;trüg;schul;damit;globen;irn;hussen;erfaren;inen;lehen;gericht;ungern;guldinen;prag;sti;ludwigen;gregorius
Topic 13;kùnig;keyser;stat;stroszburg;gottes;rome;bischoff;keiser;volck;stette;hren;bobst;ziten;rich;bebst;statt;guot;kunig;herren;romer;usser;lant;sun;herr;weer;gemaht;sineer;van;usz;eins;maht;burg;wat;dusent;erste;hertzog;bebest;lùte;heiligen;tuschen;hies;meister;frouwen;lute;eineer;soltent;hr;franckenrich;lande;nich;kùnng;erslagen;gras;straszburg;xii;grab;ꝫcꝭ;ging;dach;heiden;richste;xi;dick;nent;innen;babst;rame;ec;richs;bobest;gabe;ener;satte;hertzeg;uid;kint;etliche;brant;gewalt;sunt;niema;dn;monat;kriechen;peter;na;werent;bij;helffe;nen;burger;vorgenant;aff;mister;gericht;fùrsten;xxx;ior;gingent;kon
Topic 14;vnnd;anno;bey;weyssenburg;widder;gem;dag;statt;stat;wardt;abt;herren;ite;sagt;hetten;vff;landt;sant;syn;gefangen;synen;want;leut;juncker;herr;weyssenbung;keyser;drey;lag;auß;ludwig;thun;baden;stett;babst;pfaltzgraue;manne;knecht;schaden;gulden;kament;dannach;pfaltzgrauen;eynen;gewonnen;darzu;vitter;weissenburg;anne;nechst;arnach;pfaltz;gethan;pferden;dorff;burger;graue;bischoff;recht;werent;jare;bis;vonn;hertzog;wissen;vber;obgut;jacob;nichts;schlos;grauen;pferdt;daselbst;gutt;burg;inen;xxx;speyer;hertzeg;gewan;straszburg;sambt;wein;strasburg;bischof;vmb;zwen;syner;grosser;disse;lichtenberg;gebott;ven;thett;gelegen;zeit;basell;zweyen;wolten;vnder
Topic 15;babst;kùng;kayser;volk;heren;recht;bischoff;guot;romer;uolrich;rome;frawen;lande;kung;grosz;orden;bey;rom;bis;denn;reich;aien;vater;dy;ussz;machet;zechen;monat;sey;geburt;kament;wolten;hetten;hann;hundert;kaiser;dn;hertzog;usz;acht;ee;innen;mocht;maister;stat;tusent;hailigen;habst;ulrich;seine;gesait;jare;meyses;grosse;kirchen;fùrsten;priester;haiden;muter;hiesz;ais;fast;cristenhait;zeitten;hailig;franckrich;erste;solten;bracht;tansent;drey;ame;werb;spch;fraw;liesz;satzt;wenn;seinem;fùnff;knecht;gewan;bruder;zwaintzig;kùnge;mem;zeit;soellent;viertzig;lob;sechs;dick;hast;lùt;gut;gesechen;grossz;strasspurg;leib;kaysers
Topic 16;sant;land;gut;großen;hertzogen;inen;krieg;hand;christi;geschichte;könig;nütz;sachen;widerumb;gehört;hans;acht;recht;kommen;friburg;zitt;große;burger;burgund;zürich;dingen;nacht;gallen;zoch;denn;stadt;züg;seit;bis;allenthalben;graf;ludwig;landen;herzog;hieß;straßburg;vii;nr;kriege;stetten;friedrich;baden;juli;ingenomen;mai;heiligen;hören;graffen;bericht;übel;darinne;gottes;november;see;großem;ließ;obgenanten;bas;kirchen;lag;nider;tod;august;schwaben;lüt;glaris;halb;geliehen;zog;ee;ettwas;knechten;richs;houptman;hüser;daran;armen;gemein;kriegen;damit;tochter;menschen;must;roß;sun;ortt;bischof;end;ewigen;sigmund;rin;eyner;otto;vogt;rat
Topic 17;sant;geburt;vi;fùrent;closter;welt;cristen;siner;inen;stetten;krieg;alt;rin;gebùrt;welte;xv;johans;xx;hertzogen;iiii;tot;siten;verbrant;grosse;xvi;iij;dingen;xl;romern;samen;we;wid;nd;dien;kum;ding;burger;gott;allem;win;burge;cc;fùre;priester;xxii;schiff;xiii;vij;gewan;gat;lxx;jung;dorffer;xxv;ber;xxi;enweg;andn;int;and;korn;stritt;inder;xiiii;fùren;fùrte;trug;met;baden;nù;sn;guoten;glich;lieff;xxxi;lxxx;viij;bistum;lx;joseph;manig;vant;bn;tat;vns;lxxxii;adam;ij;husz;guoter;viii;inde;drù;vii;vn;turn;silvester;lxxv;tragen;xxxii
Topic 18;gewalt;botten;ritter;gefangen;hundert;ersten;eren;mal;peter;berg;nemen;ding;not;brieff;geschriben;weg;irem;edel;allem;alt;schaden;rechten;beschach;zugent;closter;dester;tagen;wert;hies;zalt;hetten;hoch;lag;lieben;ten;halb;gehorsam;sins;genomen;alten;kamen;lichen;weder;hinder;habent;funden;faren;gantzen;brach;legen;fro;lich;graben;handen;holtz;schon;begraben;unsers;priester;erlich;silber;gangen;edlen;geleit;ach;furent;nutz;nement;schuldig;setzen;wes;etlich;gezogen;gelegen;herr;wunder;henden;irs;geboren;minder;offen;halff;richten;hans;antwurt;bistum;best;nem;fundent;gesellen;liden;schuld;weren;win;vorgenant;la;satzt;erben;miner;ott
Topic 19;bern;eydtgenossen;herren;statt;künig;hertzog;zugent;lutzern;basel;zürich;tusent;kament;yren;herr;lütten;gott;anderen;selbs;schloß;stund;erschlagen;geburt;lütt;ettlich;zalt;ye;graff;beschach;großer;nitt;zürcher;volck;keiser;dierauer;zitten;iare;teil;dry;lande;siner;schilling-chron;stritt;keyser;luz;ury;basi;hilff;dera;abschn;römischen;underwalden;zwen;tun;osterich;eidgenössische;heinrich;nott;abschiede;byß;angentz;herschafft;mocht;frommen;bapst;syn;zug;franckrich;gewunnen;rieh;vierhundert;stett;eidtgenossen;schlacht;beschechen;imm;zwüschent;heym;warend;biß;ritter;nr;costentz;bischoff;paner;alwegen;dryhundert;zur;tett;juni;bald;huß;meyland;gericht;schweizerischen;samen;hbls;königshofen;lender;yederman;sust
